power_id,power_name,power_type,power_level
1,Agility,Physical Enhancements,7
2,Accelerated Healing,Physical Enhancements,6
3,Lantern Power Ring,Energy Manipulation,9
4,Dimensional Awareness,Sensory/Perception Powers,8
5,Cold Resistance,Stealth and Survival Powers,5
6,Durability,Physical Enhancements,8
7,Stealth,Stealth and Survival Powers,7
8,Energy Absorption,Energy Manipulation,8
9,Flight,Energy Manipulation,8
10,Danger Sense,Sensory/Perception Powers,8
11,Underwater breathing,Stealth and Survival Powers,7
12,Marksmanship,Skills and Mastery,7
13,Weapons Master,Skills and Mastery,7
14,Power Augmentation,Enhancements and Miscellaneous,7
15,Animal Attributes,Enhancements and Miscellaneous,7
16,Longevity,Enhancements and Miscellaneous,6
17,Intelligence,Enhancements and Miscellaneous,6
18,Super Strength,Physical Enhancements,9
19,Cryokinesis,Physical Enhancements,7
20,Telepathy,Sensory/Perception Powers,8
21,Energy Armor,Energy Manipulation,7
22,Energy Blasts,Energy Manipulation,7
23,Duplication,Enhancements and Miscellaneous,6
24,Size Changing,Enhancements and Miscellaneous,6
25,Density Control,Enhancements and Miscellaneous,6
26,Stamina,Enhancements and Miscellaneous,6
27,Astral Travel,Sensory/Perception Powers,7
28,Audio Control,Sensory/Perception Powers,6
29,Dexterity,Enhancements and Miscellaneous,5
30,Omnitrix,Enhancements and Miscellaneous,5
31,Super Speed,Physical Enhancements,7
32,Possession,Stealth and Survival Powers,5
33,Animal Oriented Powers,Skills and Mastery,5
34,Weapon-based Powers,Skills and Mastery,5
35,Electrokinesis,Energy Manipulation,4
36,Darkforce Manipulation,Energy Manipulation,4
37,Death Touch,Skills and Mastery,4
38,Teleportation,Stealth and Survival Powers,5
39,Enhanced Senses,Sensory/Perception Powers,6
40,Telekinesis,Sensory/Perception Powers,4
41,Energy Beams,Energy Manipulation,6
42,Magic,Skills and Mastery,6
43,Hyperkinesis,Enhancements and Miscellaneous,5
44,Jump,Physical Enhancements,4
45,Clairvoyance,Sensory/Perception Powers,5
46,Dimensional Travel,Sensory/Perception Powers,5
47,Power Sense,Sensory/Perception Powers,6
48,Shapeshifting,Stealth and Survival Powers,5
